case_number,source,prompt,evaluation_seed
458,coco-30k,A motorcycle is parked in a parking lot.,26563
459,coco-30k,A bathroom sink underneath a medicine cabinet next to a window.,85411
460,coco-30k,A classic car parked next to a large metal Canadian airplane.,31135
461,coco-30k,A large white bathroom with a massive mirror over a sink,8170
462,coco-30k,A herd of animals traveling down a country road surrounded by a lush green landscape.,77486
463,coco-30k,a person riding a motorcycle on a race track,98880
464,coco-30k,"a restaurant called time to eat on lincoln avenue
",85725
465,coco-30k,This is an image of the inside of a nice bathroom.,75142
466,coco-30k,China Airlines plain on the ground at an airport with baggage cars nearby.,66120
467,coco-30k,An open laptop equipped with a webcam in front of a television. ,26997
468,coco-30k,Child laying down with arms extended in the air.,79580
469,coco-30k,A lady holding up a pot roast while posing for a photo.,62660
470,coco-30k,A row of motorcyclists lined up while passer byers watch.,95317
471,coco-30k,A cat sitting on a hard wood floor in front of a large library of books.,71111
472,coco-30k,An orange cutting knife on top of a black case.,66625
473,coco-30k,"A bathroom with a sink, counter, toilet and shower curtain.",39456
474,coco-30k,a man in red and plack sleeping on a park bench,15894
475,coco-30k,a cat sitting in a bathtub not looking amused,88525
476,coco-30k,a lit up counter with two fancy sinks on it,6468
477,coco-30k,Two men walking through a field next to a large jet liner.,42003
478,coco-30k,A parked black motorcycle in front of a brown house.,80641
479,coco-30k,Some pans and kitchen spoons hang from hooks on a ceiling rack.,10255
480,coco-30k,A black and white cat sitting on the side of a computer monitor.,67963
481,coco-30k,A domestic cat rests on a kitchen table in front of a microwave.,9986
482,coco-30k,a man sits on a toilet in a bathroom.,70730
483,coco-30k,A small white toilet sitting next to a metal trash can.,17550
484,coco-30k,a group of urinals is near the trees,23001
485,coco-30k,The bathroom counter is nicely decorated and organized.,84932
486,coco-30k,A man walking his bike past a wooden boat.,81696
487,coco-30k,Two stuffed animals are cutting bread and spreading jelly on it.,24030
488,coco-30k,A  soldier riding a red motorcycle down a busy street.,26629
489,coco-30k,"The bathroom is small but clean and neat looking, with an immaculate black and white tub / shower.",76329
490,coco-30k,A kitchen filled with appliances and lots of cupboard space.,54204
491,coco-30k,A man standing by a large air gondola that is docked in a station,44124
492,coco-30k,Two people preparing a meal in a kitchen.,52363
493,coco-30k,A towel on a drying rack in a bathroom with a wooden stool.,10888
494,coco-30k,Small grey cat crawling over a woman's stomach. ,32535
495,coco-30k,View of a narrow bathroom with white vanity and commode with brown tile,28640
496,coco-30k,Woman riding her bike down a small side path.,30526
497,coco-30k,a long beige bathroom with a door to a bedroom and another to the hallway,87113
498,coco-30k,A group of bikers riding down the road together.,57957
499,coco-30k,The unfinished room has tools and construction materials scattered about.  ,57183
500,coco-30k,A black cat half-submerged in a toilet while drinking out of it.,11527
501,coco-30k,A restroom hanging off the side of a building over a mountain.,39567
502,coco-30k,A bathroom with powers on a towel rack under a painting.,15842
503,coco-30k,A man riding a motorcycle next to a woman driving an SUV,76263
504,coco-30k,A woman preparing food at a restaurant for customers.,41121
505,coco-30k,A girl with a drink sitting on the toilet.,71836
506,coco-30k,An older woman walking behind a bus on a city street.,99286
507,coco-30k,Two people riding a motorcycle to the beach.,49859
508,coco-30k,A dirt bike parked near a tent in the woods.,19720
509,coco-30k,A pan filled with veggies and a block of butter.,37026
510,coco-30k,A bathroom with a toilet bowl and shower.,27906
511,coco-30k,a traffic motorcycle cop waits to give a ticket,63333
512,coco-30k,A group of bikers assembles outside of a pizza shop.,57875
513,coco-30k,A kitchen filled with clutter all over it's counter.,36065
514,coco-30k,a kite with a long tail some people and a black truck,23140
515,coco-30k,Pair of giraffes in an open field grazing and watching. ,61409
516,coco-30k,a flock of goats and some men watching them,8898
517,coco-30k,A red fire hydrant between two trees in front of a building.,3107
518,coco-30k,Two birds sit on top of a parked car.,8990
519,coco-30k,three bicycles are parked against a fence a car and building,39031
520,coco-30k,A large airliner jet flying through the blue sky.,75688
521,coco-30k,A kitchen with an odd shaped counter top with a metallic stove oven.,32325
522,coco-30k,A long row of motorcycles parked side by side next to a garage.,42621
523,coco-30k,A long empty road way surrounded by wild plants.,8802
524,coco-30k,A man wearing a suit and tie under a brown umbrella.,74544
525,coco-30k,A person is watching two basketball games at once.,83730
526,coco-30k,A green mountain bike sitting next to a bridge as a train passes by.,97298
527,coco-30k,"A white kitchen with plenty of counter space, a dishwasher and a oven.",9131
528,coco-30k,"A little girl lies on a wooden bench, eating snacks from a bag.",5547
529,coco-30k,Four airplanes  that are crop dusting over some land.,932
530,coco-30k,several young students working at a desk with multiple computers,31184
531,coco-30k,A scene of an apartment with a dining table and a couple of couches.,15971
532,coco-30k,A man sits on a bench in a no smoking area,49656
533,coco-30k,A man drives his car down a road with foot and animal traffic,91943
534,coco-30k,A woman holds a pink and blue kite in her hand,96038
535,coco-30k,Several vehicles turning the corner on a busy intersection.,28902
536,coco-30k,A breakfast bowl consisting of blueberry sconce and strawberry with side of coffee,92553
537,coco-30k,The bathroom has two large windows with a ledge.,49625
538,coco-30k,A woman on a bike with a baby seat holding a dog leash.,79364
539,coco-30k,The man is holding two knives in his hands.,77543
540,coco-30k,An airplane on a runway with snow on it.,449
541,coco-30k,A colorful checkered motorcycle parked along the street.,83971
542,coco-30k,A grey van in front if a parking meter that takes credit cards.,88755
543,coco-30k,A men's public washroom with a blue floor. ,13101
544,coco-30k,A brown songbird perched on the handlebars of a bicycle.,83017
545,coco-30k,A local hero rides through the streets of town on his motorcycle with stuffed animals.,32967
546,coco-30k,A small kitchen with black countertops and stainless steel appliances.,55635
547,coco-30k,A man rides a silver motorcycle down the street in town.,47233
548,coco-30k,A little boy in the airport watching an airplane.,21398
549,coco-30k,A fuzzy photo shows a simple bathroom and bathtub.,17825
550,coco-30k,A jeep with a dead bird on the windshield.,306
551,coco-30k,"A rear view mirror on a bike is reflecting a poster on building.
",66695
552,coco-30k,A medieval style tower and clock against blue sky.,92100
553,coco-30k,a bathroom with two sinks two mirrors and a bath tub,23197
554,coco-30k,An old fashioned biplane with its propeller spinning.,49168
555,coco-30k,Unique looking Modern Outdoor Public restroom on a sidewalk.,77764
556,coco-30k,"A baby, an old lady, a woman, and a man prepare for turkey",81229
557,coco-30k,A bathroom with a brown shower curtain and white toilet ,22301
558,coco-30k,"Inside a restroom stall, a rag floats in the toilet water.",56141
559,coco-30k,Person on a motorcycle driving on a paved course.,96100
560,coco-30k,A plane getting ready to land on a runway with another parked on the side or waiting to take off.,76242
561,coco-30k,a kitchen with a sink a stove and a microwave,94336
562,coco-30k,A bathroom with an odd shaped toilet next to a shower.,88731
563,coco-30k,Three monitors sitting on a table one with a view of a baseball game.,53659
564,coco-30k,"Photo of a white towel, plunger and a wall air freshener.",79229
565,coco-30k,This is an aerial view of the nearly-finished bathroom  in a house still under construction.,64684
566,coco-30k,A park bench has been crushed by something,23201
567,coco-30k,a person riding a motorcycle on a closed course ,47396
568,coco-30k,an airplane is getting ready to be loaded with passengers ,65087
569,coco-30k,An airplane leaving a trail in the sky.,36016
570,coco-30k,An orange motorcycle is parked next to a car.,85784
571,coco-30k,A car and a public transit vehicle on a road.,99042
572,coco-30k,A person standing in the kitchen holding a ladle above a bowl while reading a book.,30592
573,coco-30k,A white toilet with a blue seat on a display platform.,68272
574,coco-30k,People in a kitchen are preparing food with plastic gloves on.,41542
575,coco-30k,An old Mustang sits parked next to a parking meter with a sign on it.,96316
576,coco-30k,An older man carrying a plate of food and making a silly face. ,66300
577,coco-30k,a close up of a person cleaning a toilet,45317
578,coco-30k,A pirstine white and black bathroom with a tub by a window,75938
579,coco-30k,A skateboard resting against a wall with a photo sitting next to it. ,26877
580,coco-30k,Dozens of people walking around a metro area,38621
581,coco-30k,"A pink bathroom contains a toilet sink, cabinets, and mirror.",39712
582,coco-30k,"Red motorcycle parked outside of large building in the city, ",74955
583,coco-30k,A plane on the tarmac with airport personnel.,30780
584,coco-30k,A large airplane sits on a wet airstrip on the other side of barred windows.,55829
585,coco-30k,two people riding on a motorcycle on a road,29611
586,coco-30k,a kitchen with a window some cupboards ,64318
587,coco-30k,A library is ready for summer reading along the bookcases.,28404
588,coco-30k,a kitchen with a refrigerator a sink and a stove,98964
589,coco-30k,some planes on an air port run way,69618
590,coco-30k,An office desk with a row of books and a desktop computer and laptop computer on the desk.,63202
591,coco-30k,an orange and white cat is sitting under a car,22544
592,coco-30k,A tiled bathroom with white towels hanging up. ,57686
593,coco-30k,Banana slices and peanut butter on a blue plate.,86295
594,coco-30k,A cow inside a brick building with people looking at it through the door way.,13290
595,coco-30k,Several types of houseplants sitting on a window ledge to receive light from the sun.,43843
596,coco-30k,This bathroom could benefit from a decorating makeover.,44787
597,coco-30k,A cat sits next to a bike that is garnished with flowers. ,8761
598,coco-30k,A woman in a scarf cooks using a huge ladel,39050
599,coco-30k,Two blue bowls of food next to a bottle of cinnamon and sugar.,53543
600,coco-30k,A fully furnished living room with a television leads into a bed room.,66040
601,coco-30k,two bikes parked on the street with pizza delivery boxes attached to their back ends,41516
602,coco-30k,view of a mountain top and clouds from a very high angle,59715
603,coco-30k,a man on skis holds onto the hands of a small girl on skis,58244
604,coco-30k,A man uses his computer while sitting at a desk. ,3710
605,coco-30k,some gray walls a toilet a dartboard and some pictures,47128
606,coco-30k,Black and white photo of a boat full of rowers.,1181
607,coco-30k,a dog is herding some sheep and some people are watching ,66195
608,coco-30k,three people on bicycles lined up behind one another along a road.,80102
